6.3354,2.32629,0,0,0,0.168808,0.985649,0,3
7.3729,2.74819,0,0,0,0.179977,0.983671,0,3
8.42801,3.13391,0,0,0,0.188603,0.982053,0,3
9.4516,3.52894,0,0,0,0.177311,0.984155,0,3
10.4441,3.9378,0,0,0,0.200958,0.9796,0,3
11.4277,4.30029,0,0,0,0.168471,0.985707,0,3
12.4779,4.6383,0,0,0,0.147279,0.989095,0,3
13.5511,4.99738,0,0,0,0.170314,0.98539,0,3
14.4981,5.41673,0,0,0,0.178992,0.98385,0,3
15.5193,5.87313,0,0,0,0.187939,0.982181,0,3
16.528,6.29879,0,0,0,0.189843,0.981814,0,3
17.5494,6.70585,0,0,0,0.159067,0.987268,0,3
18.6344,7.02419,0,0,0,0.147691,0.989033,0,3
19.7214,7.34261,0,0,0,0.151902,0.988396,0,3
20.7636,7.70138,0,0,0,0.13522,0.990816,0,3
21.8367,7.98733,0,0,0,0.148288,0.988944,0,3
22.8436,8.28928,0,0,0,0.123494,0.992345,0,3
23.921,8.56795,0,0,0,0.130008,0.991513,0,3
25.0384,8.89902,0,0,0,0.148605,0.988897,0,3
26.0658,9.2613,0,0,0,0.134756,0.990879,0,3
27.1257,9.58575,0,0,0,0.140359,0.990101,0,3
28.1761,9.91772,0,0,0,0.164035,0.986455,0,3
29.2434,10.384,0,0,0,0.189039,0.98197,0,3
30.2513,10.9154,0,0,0,0.200738,0.979645,0,3
31.2453,11.3663,0,0,0,0.216343,0.976317,0,3
32.1952,11.9464,0,0,0,0.225966,0.974135,0,3
33.1353,12.4814,0,0,0,0.224348,0.974509,0,3
34.0545,12.9064,0,0,0,0.207258,0.978286,0,3
34.971,13.3343,0,0,0,0.203113,0.979155,0,3
35.95,13.7698,0,0,0,0.213664,0.976907,0,3
36.9237,14.2245,0,0,0,0.213177,0.977014,0,3
37.9887,14.6885,0,0,0,0.208514,0.978019,0,3
38.982,15.1359,0,0,0,0.214101,0.976811,0,3
39.9792,15.5598,0,0,0,0.202235,0.979337,0,3
41.0052,16.0445,0,0,0,0.210954,0.977496,0,3
42.0558,16.5471,0,0,0,0.209327,0.977846,0,3
43.1028,17.0333,0,0,0,0.213757,0.976887,0,3
44.1122,17.4806,0,0,0,0.199683,0.97986,0,3
45.158,17.8941,0,0,0,0.182995,0.983114,0,3
46.206,18.2253,0,0,0,0.190628,0.981662,0,3
47.2219,18.6912,0,0,0,0.19719,0.980365,0,3
48.1951,19.194,0,0,0,0.220871,0.975303,0,3
49.1254,19.6396,0,0,0,0.201359,0.979518,0,3
50.1504,20.1193,0,0,0,0.214587,0.976705,0,3
51.137,20.5547,0,0,0,0.195798,0.980644,0,3
52.1219,21.0306,0,0,0,0.224704,0.974427,0,3
53.1383,21.5441,0,0,0,0.214812,0.976655,0,3
54.1148,22.0268,0,0,0,0.221048,0.975263,0,3
55.0941,22.4795,0,0,0,0.217315,0.976101,0,3
56.12,22.9954,0,0,0,0.211163,0.977451,0,3
57.144,23.4046,0,0,0,0.21538,0.97653,0,3
58.1241,23.8679,0,0,0,0.229412,0.973329,0,3
59.1072,24.3761,0,0,0,0.230914,0.972974,0,3
60.0818,24.8491,0,0,0,0.224788,0.974408,0,3
61.1632,25.3692,0,0,0,0.213889,0.976858,0,3
62.1952,25.8915,0,0,0,0.228165,0.973623,0,3
63.1907,26.4168,0,0,0,0.241892,0.970303,0,3
64.1906,26.9951,0,0,0,0.237399,0.971412,0,3
65.2153,27.517,0,0,0,0.207975,0.978134,0,3
66.2018,27.9808,0,0,0,0.215473,0.97651,0,3
67.177,28.452,0,0,0,0.204047,0.978961,0,3
68.185,28.9177,0,0,0,0.211619,0.977352,0,3
69.1624,29.4053,0,0,0,0.196861,0.980431,0,3
70.0982,29.9556,0,0,0,0.274877,0.961479,0,3
71.0542,30.5843,0,0,0,0.302715,0.953081,0,3
71.9319,31.5276,0,0,0,0.46752,0.883983,0,3
72.5228,32.5634,0,0,0,0.57055,0.821263,0,3
72.7763,33.5864,0,0,0,0.694092,0.719886,0,3
72.7608,34.6708,0,0,0,0.729716,0.683751,0,3
72.6201,35.6863,0,0,0,0.792631,0.609701,0,3
72.2731,36.6856,0,0,0,0.834827,0.550512,0,3
71.8237,37.6573,0,0,0,0.838748,0.544519,0,3
71.3389,38.6674,0,0,0,0.84399,0.536358,0,3
70.9007,39.6345,0,0,0,0.83563,0.549293,0,3
70.4376,40.5931,0,0,0,0.842979,0.537947,0,3
69.9343,41.5563,0,0,0,0.841886,0.539655,0,3
69.4513,42.5558,0,0,0,0.84015,0.542355,0,3
68.9396,43.5739,0,0,0,0.837766,0.546029,0,3
68.4086,44.5882,0,0,0,0.850919,0.525298,0,3
67.8748,45.4853,0,0,0,0.857267,0.514872,0,3
67.3097,46.4873,0,0,0,0.854188,0.519964,0,3
66.8046,47.4517,0,0,0,0.846818,0.531882,0,3
66.317,48.3641,0,0,0,0.847977,0.530033,0,3
65.7939,49.355,0,0,0,0.850331,0.526249,0,3
65.1932,50.3867,0,0,0,0.865629,0.500686,0,3
64.4971,51.3865,0,0,0,0.895967,0.44412,0,3
63.6006,52.3119,0,0,0,0.944132,0.329569,0,3
62.4818,53.0884,0,0,0,0.950554,0.31056,0,3
61.3506,54.0051,0,0,0,0.939409,0.3428,0,3
60.2914,54.9344,0,0,0,0.933157,0.359469,0,3
59.3988,55.7797,0,0,0,0.920728,0.390205,0,3
58.3987,56.6976,0,0,0,0.933707,0.358037,0,3
57.4124,57.7117,0,0,0,0.91549,0.40234,0,3
